排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
59,JavaScript-Indent,vim-scripts/JavaScript-Indent,vim-scripts,Javascript indenter (HTML indent is included),VimL,69,23,1,2010-11-16T02:37:57Z,2021-12-17T03:19:07Z,https://github.com/vim-scripts/JavaScript-Indent,http://www.vim.org/scripts/script.php?script_id=3081,,105,False,False
60,vim-git-branch-info,taq/vim-git-branch-info,taq,A Vim script to return info about the Git branches.,VimL,69,11,0,2008-06-05T13:14:22Z,2025-06-09T08:52:44Z,https://github.com/taq/vim-git-branch-info,,,129,False,False
61,systemverilog.vim,nachumk/systemverilog.vim,nachumk,SystemVerilog vim scripts,Vim Script,67,22,3,2014-02-09T07:07:53Z,2025-09-05T10:45:19Z,https://github.com/nachumk/systemverilog.vim,,GNU General Public License v2.0,64,False,False
62,vim-scmdiff,ghewgill/vim-scmdiff,ghewgill,Vim script to highlight lines changed from a base version in SCM,VimL,65,11,5,2008-08-10T10:40:35Z,2022-08-09T13:05:27Z,https://github.com/ghewgill/vim-scmdiff,,,17,False,False
63,dotfiles,dmitmel/dotfiles,dmitmel,"My dotfiles (configurations and settings) for shells, text editors and other terminal programs, plus a collection of scripts.",Vim Script,65,6,0,2018-01-13T11:10:25Z,2025-10-12T20:35:24Z,https://github.com/dmitmel/dotfiles,,Creative Commons Zero v1.0 Universal,1883,False,False
64,pgmnt.vim,cocopon/pgmnt.vim,cocopon,":art: Template engine for Vim color schemes, in pure Vim script",Vim script,62,7,0,2017-05-01T14:38:23Z,2024-11-21T13:22:20Z,https://github.com/cocopon/pgmnt.vim,,MIT License,20,False,False
65,vim-skip,jayflo/vim-skip,jayflo,simple movement script for vim,VimL,56,3,1,2014-01-17T23:16:17Z,2025-08-15T21:13:25Z,https://github.com/jayflo/vim-skip,,,381,False,False
66,dotfiles,vsbuffalo/dotfiles,vsbuffalo,"My dotfiles, with simple install script.",Vim Script,54,11,0,2013-10-29T00:35:38Z,2025-02-25T17:02:43Z,https://github.com/vsbuffalo/dotfiles,,,833,False,False
67,Vimdown,jeffbuttars/Vimdown,jeffbuttars,A dirty tool to convert .vimrc and .vim script files to markdown,VimL,53,0,8,2012-01-20T06:31:19Z,2022-05-11T21:24:20Z,https://github.com/jeffbuttars/Vimdown,,,3733,False,False
68,bspwm-install,theduckchannel/bspwm-install,theduckchannel,Script for setup a lightweight bspwm environment on Arch Linux,Vim script,52,18,1,2021-08-19T14:51:32Z,2025-09-10T09:34:09Z,https://github.com/theduckchannel/bspwm-install,https://git.io/J0xER,GNU General Public License v3.0,11185,False,False
69,vimling,LukeSmithxyz/vimling,LukeSmithxyz,Small vim scripts for writing IPA and other special characters,Vim Script,52,10,1,2018-09-08T05:19:16Z,2025-09-27T04:48:32Z,https://github.com/LukeSmithxyz/vimling,,GNU General Public License v3.0,30,False,False
